,total_return,ann_return,sharpe,max_drawdown,n_periods
momentum_baseline,18.18430316947703,0.34427487801134893,1.1069701102889897,-0.4691533141640597,503.0
equal_weight,4.085766454197658,0.17690705462603606,1.0066372160221173,-0.3475667364302816,503.0
model_walkforward,22.886525553184573,0.3919221424378678,0.9702345076087932,-0.5345906777046471,483.0
model_risk_managed,4.684067916417513,0.19851021166623872,1.0331567780760886,-0.2877410313523815,483.0
buy_hold_SPY,3.5104459162203296,0.13849315934588313,0.8283563519188667,-0.33717258279330076,2920.0
