,momentum_baseline,equal_weight,model_walkforward,model_risk_managed,momentum_balanced,momentum_aggressive,buy_hold_SPY
2014-10-29,,,,,,,1.0
2014-10-30,,,,,,,1.0064101640902503
2014-10-31,,,,,,,1.017919449869064
2014-11-03,,,,,,,1.018474484939612
2014-11-04,,,,,,,1.0149413383574217
2014-11-05,,,,,,,1.0213514089287048
2014-11-06,,,,,,,1.025440058176279
2014-11-07,,,,,,,1.0263990951852882
2014-11-10,,,,,,,1.0296296143895016
2014-11-11,,,,,,,1.0306391516408184
2014-11-12,,,,,,,1.0295289879807552
2014-11-13,,,,,,,1.0306902129969293
2014-11-14,,,,,,,1.0309421530946643
2014-11-17,,,,,,,1.0315982821687946
2014-11-18,,,,,,,1.0375549727869158
2014-11-19,,,,,,,1.0358891194235342
2014-11-20,,,,,,,1.0377064735138386
2014-11-21,,,,,,,1.0432586010796951
2014-11-24,,,,,,,1.0461863058679972
2014-11-25,,,,,,,1.0454288022333826
2014-11-26,,,,,,,1.048104286367048
2014-11-28,,,,,,,1.0458834914520858
2014-12-01,,,,,,,1.0386147297236383
2014-12-02,,,,,,,1.0453283628625707
2014-12-03,,,,,,,1.0493665118678375
2014-12-04,,,,,,,1.0482052868516634
2014-12-05,,,,,,,1.0499215469383854
2014-12-08,,,,,,,1.0429053799404433
2014-12-09,,,,,,,1.0421987506240054
2014-12-10,,,,,,,1.025490651937554
2014-12-11,,,,,,,1.0306902129969293
2014-12-12,,,,,,,1.0140326145527858
2014-12-15,,,,,,,1.0070666672402497
2014-12-16,,,,,,,0.9989904627486833
2014-12-17,,,,,,,1.0185752983862928
2014-12-18,,,,,,,1.0437632294269026
2014-12-19,,,,,,,1.0482045386999255
2014-12-22,,,,,,,1.0530263766506331
2014-12-23,,,,,,,1.0544477714336589
2014-12-24,,,,,,,1.0545491459941432
2014-12-26,,,,,,,1.0579494021238907
2014-12-29,,,,,,,1.0593707033879491
2014-12-30,,,,,,,1.0536858724075842
2014-12-31,,,,,,,1.0432303583515898
2015-01-02,,,,,,,1.042671769560287
2015-01-05,,,,,,,1.023842006064144
2015-01-06,,,,,,,1.0141986107196304
2015-01-07,,,,,,,1.02683657691402
2015-01-08,,,,,,,1.045057531933454
2015-01-09,,,,,,,1.0366830019364037
2015-01-12,,,,,,,1.0285622824164329
2015-01-13,,,,,,,1.025669086127041
2015-01-14,,,,,,,1.019477008268386
2015-01-15,,,,,,,1.0101376430863578
2015-01-16,,,,,,,1.0233849788712597
2015-01-20,,,,,,,1.0255677115665567
2015-01-21,,,,,,,1.0307449215927627
2015-01-22,,,,,,,1.0460729608797068
2015-01-23,,,,,,,1.0403372555811652
2015-01-26,,,,,,,1.0427737052345745
2015-01-27,,,,,,,1.029018935533448
2015-01-28,,,,,,,1.0158224740667228
2015-01-29,,,,,,,1.0252124330100258
2015-01-30,,,,,,,1.0123204693006222
2015-02-02,,,,,,,1.0248569674155603
2015-02-03,,,,,,,1.039677292229378
2015-02-04,,,,,,,1.0357189149031638
2015-02-05,,,,,,,1.0461742419212237
2015-02-06,,,,,,,1.0432815132266682
2015-02-09,,,,,,,1.0386117371166868
2015-02-10,,,,,,,1.0496763402062916
2015-02-11,,,,,,,1.050285335720935
